run_id,zone,d_c_z,net_import,req_z,c_dem,lambda_c_z,nu_c,rho
1,1,10.714285714285714,0.0,10.714285714285714,10.714285714285714,22.5,22.5,0.0
1,2,150.0,0.0,150.0,150.0,30.0,30.0,0.0
1,3,137.50000000000003,0.0,137.50000000000003,137.5,37.5,37.5,0.0
2,1,10.714285714285714,0.0,10.714285714285714,10.714285714285714,22.5,22.5,0.0
2,2,150.0,0.0,150.0,150.0,30.0,30.0,0.0
2,3,137.50000000000003,0.0,137.50000000000003,137.5,37.5,37.5,0.0
3,1,10.714285714285714,0.0,10.714285714285714,10.714285714285714,22.5,22.5,0.0
3,2,150.0,0.0,150.0,150.0,30.0,30.0,0.0
3,3,137.50000000000003,0.0,137.50000000000003,137.5,37.5,37.5,0.0
4,1,10.714285714285714,0.0,10.714285714285714,10.714285714285714,22.5,22.5,0.0
4,2,150.0,0.0,150.0,150.0,30.0,30.0,0.0
4,3,137.50000000000003,0.0,137.50000000000003,137.5,37.5,37.5,0.0
5,1,10.714285714285714,0.0,10.714285714285714,10.714285714285714,22.5,22.5,0.0
5,2,150.0,0.0,150.0,150.0,30.0,30.0,0.0
5,3,137.50000000000003,0.0,137.50000000000003,137.5,37.5,37.5,0.0
6,1,10.714285714285714,0.0,10.714285714285714,10.714285714285714,22.5,22.5,0.0
6,2,150.0,0.0,150.0,150.0,30.0,30.0,0.0
6,3,137.50000000000003,0.0,137.50000000000003,137.5,37.5,37.5,0.0
