variable,min,max,mean,median,std
total_cap,298.2142857142857,298.2142857142857,298.2142857142857,298.2142857142857,0.0
market_cost,12469.571428571428,12469.571428571428,12469.571428571428,12469.571428571428,0.0
lambda_e_avg,5.0,5.0,5.0,5.0,0.0
ls_total,0.0,0.0,0.0,0.0,0.0
rd_volume,115.76767986840149,115.76767986840149,115.76767986840149,115.76767986840149,0.0
rd_cost,1724.4733379350978,1724.4733379350978,1724.473337935098,1724.4733379350978,2.490753820462333e-13
curtailment,5.000000000000028,5.000000000000028,5.000000000000028,5.000000000000028,0.0
rd_up_vol,55.38383993420073,55.38383993420073,55.38383993420073,55.38383993420073,0.0
rd_down_vol,60.38383993420076,60.38383993420076,60.38383993420076,60.38383993420076,0.0
rd_cost_econ,224.4733379350892,224.4733379350892,224.47333793508918,224.4733379350892,3.113442275577916e-14
curt_cost,1500.0000000000086,1500.0000000000086,1500.0000000000089,1500.0000000000086,2.490753820462333e-13
lambda_c_z1,22.5,22.5,22.5,22.5,0.0
lambda_c_z2,30.0,30.0,30.0,30.0,0.0
lambda_c_z3,34.5,34.5,34.5,34.5,0.0
c_dem_z1,20.714285714285715,20.714285714285715,20.71428571428572,20.714285714285715,3.891802844472395e-15
c_dem_z2,155.0,155.0,155.0,155.0,0.0
c_dem_z3,122.5,122.5,122.5,122.5,0.0
nu_c_z1,22.5,22.5,22.5,22.5,0.0
nu_c_z2,30.0,30.0,30.0,30.0,0.0
nu_c_z3,34.5,34.5,34.5,34.5,0.0
req_z1,20.714285714285715,20.714285714285715,20.71428571428572,20.714285714285715,3.891802844472395e-15
req_z2,155.0,155.0,155.0,155.0,0.0
req_z3,122.50000000000003,122.50000000000003,122.50000000000001,122.50000000000003,1.556721137788958e-14
net_import_z1,-10.0,-10.0,-10.0,-10.0,0.0
net_import_z2,-5.0,-5.0,-5.0,-5.0,0.0
net_import_z3,15.0,15.0,15.0,15.0,0.0
c_NL0 0 CCGT,20.714285714285715,20.714285714285715,20.71428571428572,20.714285714285715,3.891802844472395e-15
c_NL0 1 coal,155.0,155.0,155.0,155.0,0.0
c_NL0 10 nuclear,122.5,122.5,122.5,122.5,0.0
