scenario,case_study,sigma,zone,eligible_legacy_capacity_min_mw,eligible_legacy_capacity_max_mw,new_capacity_min_mw,new_capacity_max_mw,total_eligible_capacity_min_mw,total_eligible_capacity_max_mw,new_fixed_cost_min,new_fixed_cost_max
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,7266.2,7266.2,0.0,3.469643889530973e-06,7266.2,7266.200003469644,0.0,0.2058507429519484
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,4419.5,4419.5,0.0,0.0,4419.5,4419.5,0.0,0.0
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,4601.0,4601.000000000001,2400.1047541241683,2400.104754737028,7001.104754124168,7001.104754737029,129450892.1924789,129450892.2255338
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,7266.199999999999,7266.2,0.0,1.1422266481098125e-05,7266.2,7266.200011422266,0.0,0.677672440224704
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,4419.499999999999,4419.500000000001,502.4607709838426,502.4607794545074,4921.960770983843,4921.960779454507,24390433.57813073,24390433.989313453
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,4601.0,4601.0,0.0,1.254306674347342e-06,4601.0,4601.000001254307,0.0,0.0676516797019953
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,7266.2,7266.2,0.0,6.243316310297019e-08,7266.2,7266.200000062433,0.0,0.0037041014636588
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,4419.5,4419.5,0.0,0.0,4419.5,4419.5,0.0,0.0
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,4600.999999999999,4601.0,1211.4329259406536,1211.432925940717,5812.432925940653,5812.432925940717,65339261.89050403,65339261.89050745
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,7266.199999999999,7266.2,0.0,2.883388612318076e-07,7266.2,7266.200000288339,0.0,0.0171068762951664
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,4419.499999999999,4419.500000000001,479.6994774862833,479.69967762733006,4899.199477486283,4899.19967762733,23285555.646829676,23285565.36206953
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,4601.0,4601.000000000001,22.761097327560616,22.76129772651125,4623.7610973275605,4623.761297726512,1227631.5653596409,1227642.3739807687
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,7266.2,7266.2,0.0,6.366101558796803e-06,7266.2,7266.200006366102,0.0,0.37769488088964287
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,4419.5,4419.500000000001,502.4607710783856,502.4607752723706,4921.960771078386,4921.9607752723705,24390433.582720034,24390433.78630431
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,4601.0,4601.0,0.0,4.8262168878206525e-06,4601.0,4601.000004826217,0.0,0.2603045058634431
nl34_z3_sigma0,Case Study 1,0.0,1,626.1999999999989,626.2000000000007,6601.546702524866,6601.546702524867,7227.746702524865,7227.746702524867,391663622.1506959,391663622.1506959
nl34_z3_sigma0,Case Study 1,0.0,2,139.0,139.0000000000009,2421.309318529239,2421.309318529239,2560.309318529239,2560.30931852924,117535114.21411136,117535114.21411136
nl34_z3_sigma0,Case Study 1,0.0,3,1323.0,1323.0,5678.104754159029,5678.106646833878,7001.104754159029,7001.106646833878,306251518.8660868,306251620.94848436
nl34_z3_sigma100,Case Study 1,1.0,1,626.1999999999998,626.2000000000003,1846.859389651389,1846.8593896513978,2473.059389651389,2473.059389651398,109572448.81373493,109572448.81373546
nl34_z3_sigma100,Case Study 1,1.0,2,139.0,139.0000000000009,7175.996631396648,7175.996631540891,7314.996631396648,7314.996631540891,348336983.30769396,348336983.3146958
nl34_z3_sigma100,Case Study 1,1.0,3,1322.999999999999,1323.000000000001,5678.104754089617,5678.104754165097,7001.104754089616,7001.104754165097,306251518.862343,306251518.86641407
nl34_z3_sigma25,Case Study 1,0.25,1,626.1999999999989,626.1999999999998,5412.874874306495,5412.874874306497,6039.074874306495,6039.074874306496,321140828.81645554,321140828.81645566
nl34_z3_sigma25,Case Study 1,0.25,2,138.99999999999955,139.0,3609.981146747605,3609.9811467476056,3748.9811467476047,3748.9811467476056,175235581.48758048,175235581.4875805
nl34_z3_sigma25,Case Study 1,0.25,3,1323.0,1323.0,5678.104754159041,5678.104754159041,7001.104754159041,7001.104754159041,306251518.8660874,306251518.86608744
nl34_z3_sigma50,Case Study 1,0.5,1,626.1999999999998,626.1999999999998,4224.203046088128,4224.203046088128,4850.403046088128,4850.403046088128,250618035.4822154,250618035.48221546
nl34_z3_sigma50,Case Study 1,0.5,2,138.9999999999991,139.0,4798.652974965977,4798.6529749659785,4937.652974965977,4937.6529749659785,232936048.76104993,232936048.76104996
nl34_z3_sigma50,Case Study 1,0.5,3,1322.999999999999,1323.0,5678.104754159043,5678.104754159043,7001.104754159042,7001.104754159043,306251518.86608756,306251518.86608756
nl34_z3_sigma75,Case Study 1,0.75,1,626.1999999999998,626.2000000000007,3035.531217869757,3035.531217869757,3661.7312178697566,3661.7312178697575,180095242.1479751,180095242.1479751
nl34_z3_sigma75,Case Study 1,0.75,2,138.9999999999991,139.0000000000009,5987.324803184347,5987.324803184348,6126.324803184346,6126.324803184348,290636516.0345192,290636516.03451926
nl34_z3_sigma75,Case Study 1,0.75,3,1322.999999999999,1323.0,5678.10475415905,5678.104754159051,7001.10475415905,7001.104754159051,306251518.8660879,306251518.866088
